portfolio_id,success_rate,equity_weight,w_voo,w_bsv,w_biv,w_blv,w_vb,w_vo,w_vv,w_vtv,w_vti,w_vwo
2047,0.866,0.8535040943205505,0.04109071301984819,0.060764093796541276,0.07998306225669578,0.00574874962621222,0.019769580604519475,0.09051289289711548,0.6445092341153431,0.01420439985773417,0.011502173799810849,0.03191510002617931
2770,0.859,0.8796071959257197,0.04237356242846415,0.04319314304785311,0.07145684929085667,0.005742811735570454,0.02155398261206049,0.12475321596607768,0.5861585528087714,0.06569166465583656,0.02760138283823855,0.011474834616270819
4803,0.8439,0.8047296905394775,0.051445940073109396,0.05225174712973895,0.09126035360466093,0.05175820872612268,0.043824090508992095,0.02915906174082361,0.6207343957537688,0.006209132200536457,0.05226176107708875,0.0010953091851584869
2335,0.8423,0.8973542064464671,0.0052160120150739515,0.04741591952387603,0.054895870211624224,0.00033400381803262285,0.04593667698694122,0.002549188414652678,0.49940029964654936,0.09986955784404869,0.2431627802921645,0.001219691247036737
4969,0.8391,0.860371203840985,0.008788816891368616,0.017392390551242518,0.07047919856753367,0.05175720704023859,0.0004878490779535958,0.04682020401196529,0.6016680428602472,0.1389858733228883,0.021963669132860707,0.041656748543701244
4794,0.8376,0.8795448254230784,0.0061721938730648325,0.08202402192066656,0.02740455290598161,0.011026599750273315,0.04282758852149601,0.04672009159168723,0.5527328873998482,0.06898439890826535,0.12255786994910332,0.03954979517961357
1555,0.8232,0.7861876874949948,0.06938084911527509,0.08733885653698514,0.08223802707533251,0.04423542889268756,0.013118149340734013,0.0006426514074500623,0.5667816405313572,0.02575228939739426,0.10288130127299845,0.007630806429785734
1659,0.813,0.9297347165451698,0.07345036571051186,0.027819523632632074,0.040864110190261795,0.0015816496319361608,0.017489691952255172,0.11615595686052564,0.4557864468229698,0.0005705698395042489,0.21757126775647942,0.04871041760292376
4126,0.8115,0.8371447475360624,0.07304424399808113,0.05071174585289304,0.10731374377838203,0.004829762832662617,0.04998009231072772,0.12991378858718192,0.5099633666232165,0.04679983929025899,0.008866286564182368,0.01857713016241374
1520,0.805,0.8361864735816251,0.01788479149792275,0.015713072643510247,0.11272330975199124,0.03537714402287317,0.011958542740449697,0.1516475126040854,0.49349156085011514,0.07374496396473655,0.07865672617838618,0.00880237574592951
3095,0.8045,0.9020763240901818,0.11390623696565207,0.016508978013935312,0.02535902467146264,0.056055673224420004,0.06942156827604874,0.08030351103975017,0.49879616368346036,0.013912948964434993,0.08808473527317455,0.03765115988766104
1383,0.7961,0.7937957247707675,0.07737406293629771,0.16504140728723174,0.005334719627990704,0.035828148314009975,0.04761946998567093,0.02535714222878698,0.49251480717478296,0.012784253200074987,0.1309185678265185,0.007227421418635295
4796,0.781,0.8390059751978253,0.08864189983229658,0.09078772347343257,0.044618971857678616,0.025587329471063507,0.041756421026270044,0.1178410531453573,0.4264769136789535,0.053215036143065615,0.10590300530703138,0.005171646064850913
3559,0.7787,0.8878307153063474,0.2672157662000023,0.08748361269873585,0.01574753227029856,0.008938139724618354,0.014410331895521105,0.10048709806639905,0.3900160214046061,0.03363516404588159,0.06052730029926347,0.021539033394673623
162,0.7786,0.9152470121730025,0.13020909123336843,0.04630565301855084,0.024687614816494525,0.013759719991951894,0.06172838325651187,0.014546746565544753,0.44755278310042235,0.14947652663311445,0.03304028636436647,0.07869319501967417
4190,0.7784,0.8853854356351377,0.02216043425789211,0.027697584012830415,0.05729127545404169,0.02962570489799036,0.1464366364408981,0.016152326814028783,0.465310490253324,0.16878831472689013,0.03548258542486014,0.031054647717244404
733,0.7725,0.895562739139655,0.04649212228496512,0.0029610624162664657,0.03530027451020844,0.06617592393387027,0.024921965565918903,0.006743685506149705,0.4684057192554374,0.21455208803601283,0.06428502571243067,0.07016213277874034
2452,0.7703,0.8660187088568582,0.0008767561201532892,0.10725258873819993,0.016300005573008838,0.010428696831933103,0.04640568914071718,0.10335136553825784,0.45195363528447735,0.03970141143898347,0.14150107724425026,0.08222877409001882
704,0.7661,0.8410706962267072,0.23539879571109795,0.038552940045812015,0.07289443744239753,0.04748192628508318,0.023449732776236656,0.025828066419618125,0.4291951098928177,0.0648735756186473,0.05214910736248523,0.010176308445804218
2831,0.7643,0.9021468843938764,0.01801404643993001,0.036815044396450225,0.04375554468295541,0.017282526526717874,0.025236914553416815,0.12693187102215628,0.38192060486385426,0.1476649404505449,0.15593063767037985,0.04644786939359428
3674,0.7637,0.894339010309174,0.09021362374982923,0.03643028473196767,0.00856221616200721,0.0606684887968514,0.004410913283560936,0.0013511247668344265,0.4792291289783652,0.04802645467930683,0.1610768227228435,0.11003094212843388
3238,0.7623,0.8627734222959693,0.04641675219939471,0.10009220600604032,0.012615383752256338,0.024518987945734035,0.02143022339343665,0.28224146782375253,0.41309037148336897,0.04431912940381953,0.016777137093676463,0.038498340898520396
2011,0.7615,0.7953423217581759,0.023892323657634006,0.17369975382091282,0.023041137524291322,0.007916786896619956,0.029702523716452506,0.00021697679432314645,0.5335139537264042,0.08575528790362331,0.002035935907603171,0.1202253200521355
4826,0.7596,0.8949203628158872,0.04692148565727941,0.001718190234306673,0.061220918353760596,0.04214052859604553,0.011410508823383906,0.2290637349077819,0.46385176810751766,0.02247964496124313,0.023459814183554636,0.09773340617512662
3296,0.7596,0.956504042930768,0.05206696043280541,0.020298601275244424,0.00980927074935343,0.013388085044634287,0.17139439270209797,0.020295061019159226,0.3563926461662996,0.31232843681700384,0.034902531154481754,0.009124014638920088
3921,0.7595,0.9141535972954038,0.004184726520913113,0.04630999187980681,0.016481020712030198,0.0230553901127591,0.010694211730411391,0.007145277923502714,0.431031417709238,0.1141887288647038,0.23324758384513705,0.11366165070149775
4259,0.7588,0.8377292726124845,0.15612529282728785,0.11243465079152272,0.044492710859619235,0.005343365736373626,0.014594810167590929,0.1876511657639365,0.3955530131194109,0.008034104907025273,0.04573570228257824,0.030035183544654846
2974,0.7551,0.8540459497451507,0.06380145395445855,0.1117412025600357,0.026241154558422273,0.007971693136391482,0.1329386990871769,0.009568232629379659,0.42836207566178747,0.14787786043213869,0.025819592997545462,0.045678034982663936
