Index_Fund,Weight
vv,0.6445092341153431
vo,0.09051289289711548
biv,0.07998306225669578
bsv,0.060764093796541276
voo,0.04109071301984819
vwo,0.03191510002617931
vb,0.019769580604519475
vtv,0.01420439985773417
vti,0.011502173799810849
blv,0.00574874962621222
