seed,n_samples,target,max_wr_baseline,max_wr_guardrail,max_wr_guardrail_put
1000000,10000,0.9,0.035,0.04250000000000001,0.05000000000000002
1000000,10000,0.95,0.03,0.035,0.04250000000000001
2000000,10000,0.9,0.035,0.04250000000000001,0.05000000000000002
2000000,10000,0.95,0.03,0.035,0.04250000000000001
3000000,10000,0.9,0.037500000000000006,0.04250000000000001,0.05000000000000002
3000000,10000,0.95,0.03,0.037500000000000006,0.04500000000000001
