Index_Fund,Mean,Standard_Deviation
biv,-0.004345,0.079409
blv,-0.034118,0.150534
bsv,0.001624,0.046485
vb,0.087947,0.246558
vo,0.098533,0.219154
voo,0.071862,0.144798
vti,0.086143,0.177558
vtv,0.087011,0.184486
vv,0.152251,0.202442
vwo,0.024497,0.201503
